"Game Number","Time in the quarter","Opponents"
"20171017","1 quarter, 2 minute(s) 39 seconds left","CLE"
"20171017","2 quarter, 9 minute(s) 23 seconds left","CLE"
"20171017","3 quarter, 2 minute(s) 10 seconds left","CLE"
"20171017","4 quarter, 2 minute(s) 58 seconds left","CLE"
"20171017","4 quarter, 0 minute(s) 36 seconds left","CLE"
"20171018","1 quarter, 6 minute(s) 46 seconds left","MIL"
"20171018","2 quarter, 3 minute(s) 15 seconds left","MIL"
"20171018","3 quarter, 2 minute(s) 35 seconds left","MIL"
"20171018","4 quarter, 7 minute(s) 14 seconds left","MIL"
"20171018","4 quarter, 0 minute(s) 33 seconds left","MIL"
"20171020","1 quarter, 2 minute(s) 16 seconds left","PHI"
"20171020","2 quarter, 5 minute(s) 3 seconds left","PHI"
"20171020","3 quarter, 10 minute(s) 33 seconds left","PHI"
