"Game Number","Time in the quarter","Opponents"
"20171019","1 quarter, 1 minute(s) 41 seconds left","TOR"
"20171019","2 quarter, 9 minute(s) 58 seconds left","TOR"
"20171019","2 quarter, 6 minute(s) 54 seconds left","TOR"
"20171019","3 quarter, 4 minute(s) 43 seconds left","TOR"
"20171019","4 quarter, 7 minute(s) 47 seconds left","TOR"
"20171021","1 quarter, 6 minute(s) 46 seconds left","SAS"
"20171021","2 quarter, 9 minute(s) 51 seconds left","SAS"
"20171021","3 quarter, 6 minute(s) 44 seconds left","SAS"
"20171021","3 quarter, 2 minute(s) 59 seconds left","SAS"
"20171021","4 quarter, 9 minute(s) 42 seconds left","SAS"
