"Game Number","Time in the quarter","Opponents"
"20171017","1 quarter, 6 minute(s) 59 seconds left","BOS"
"20171017","2 quarter, 5 minute(s) 30 seconds left","BOS"
"20171017","3 quarter, 11 minute(s) 15 seconds left","BOS"
"20171017","3 quarter, 8 minute(s) 19 seconds left","BOS"
"20171017","4 quarter, 6 minute(s) 41 seconds left","BOS"
"20171017","4 quarter, 1 minute(s) 4 seconds left","BOS"
"20171020","1 quarter, 3 minute(s) 20 seconds left","MIL"
"20171020","2 quarter, 5 minute(s) 42 seconds left","MIL"
"20171020","3 quarter, 6 minute(s) 36 seconds left","MIL"
"20171020","4 quarter, 2 minute(s) 45 seconds left","MIL"
"20171020","4 quarter, 1 minute(s) 14 seconds left","MIL"
"20171021","1 quarter, 6 minute(s) 57 seconds left","ORL"
"20171021","3 quarter, 3 minute(s) 11 seconds left","ORL"
"20171021","4 quarter, 8 minute(s) 7 seconds left","ORL"
