"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 6 minute(s) 38 seconds left","ATL"
"20171018","2 quarter, 3 minute(s) 47 seconds left","ATL"
"20171018","2 quarter, 0 minute(s) 51 seconds left","ATL"
"20171018","3 quarter, 6 minute(s) 34 seconds left","ATL"
"20171018","4 quarter, 8 minute(s) 45 seconds left","ATL"
"20171020","1 quarter, 6 minute(s) 35 seconds left","SAC"
"20171020","2 quarter, 3 minute(s) 51 seconds left","SAC"
"20171020","3 quarter, 6 minute(s) 58 seconds left","SAC"
"20171020","4 quarter, 4 minute(s) 38 seconds left","SAC"
"20171020","4 quarter, 0 minute(s) 14 seconds left","SAC"
"20171020","4 quarter, 0 minute(s) 2 seconds left","SAC"
"20171021","1 quarter, 7 minute(s) 27 seconds left","HOU"
"20171021","2 quarter, 7 minute(s) 45 seconds left","HOU"
"20171021","2 quarter, 4 minute(s) 29 seconds left","HOU"
"20171021","3 quarter, 4 minute(s) 5 seconds left","HOU"
"20171021","3 quarter, 1 minute(s) 39 seconds left","HOU"
"20171021","4 quarter, 5 minute(s) 14 seconds left","HOU"
"20171021","4 quarter, 2 minute(s) 55 seconds left","HOU"
