"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 1 minute(s) 54 seconds left","UTA"
"20171018","2 quarter, 8 minute(s) 33 seconds left","UTA"
"20171018","2 quarter, 4 minute(s) 38 seconds left","UTA"
"20171018","3 quarter, 6 minute(s) 44 seconds left","UTA"
"20171018","4 quarter, 11 minute(s) 10 seconds left","UTA"
"20171018","4 quarter, 8 minute(s) 28 seconds left","UTA"
"20171021","1 quarter, 5 minute(s) 16 seconds left","SAC"
"20171021","3 quarter, 6 minute(s) 36 seconds left","SAC"
"20171021","4 quarter, 4 minute(s) 33 seconds left","SAC"
"20171021","4 quarter, 3 minute(s) 8 seconds left","SAC"
