"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 2 minute(s) 28 seconds left","CHA"
"20171018","2 quarter, 7 minute(s) 40 seconds left","CHA"
"20171018","3 quarter, 4 minute(s) 39 seconds left","CHA"
"20171018","4 quarter, 5 minute(s) 20 seconds left","CHA"
"20171020","1 quarter, 6 minute(s) 37 seconds left","WAS"
"20171020","2 quarter, 6 minute(s) 27 seconds left","WAS"
"20171020","3 quarter, 8 minute(s) 31 seconds left","WAS"
"20171020","4 quarter, 10 minute(s) 29 seconds left","WAS"
"20171020","4 quarter, 3 minute(s) 12 seconds left","WAS"
"20171021","1 quarter, 8 minute(s) 14 seconds left","NYK"
"20171021","2 quarter, 6 minute(s) 23 seconds left","NYK"
"20171021","4 quarter, 5 minute(s) 0 seconds left","NYK"
