"Game Number","Time in the quarter","Opponents"
"20171017","1 quarter, 4 minute(s) 27 seconds left","HOU"
"20171017","2 quarter, 10 minute(s) 19 seconds left","HOU"
"20171017","2 quarter, 2 minute(s) 41 seconds left","HOU"
"20171017","3 quarter, 8 minute(s) 25 seconds left","HOU"
"20171017","4 quarter, 10 minute(s) 31 seconds left","HOU"
"20171017","4 quarter, 1 minute(s) 60 seconds left","HOU"
"20171017","4 quarter, 0 minute(s) 10 seconds left","HOU"
"20171020","1 quarter, 2 minute(s) 42 seconds left","NOP"
"20171020","4 quarter, 7 minute(s) 32 seconds left","NOP"
"20171021","1 quarter, 2 minute(s) 56 seconds left","MEM"
"20171021","2 quarter, 6 minute(s) 32 seconds left","MEM"
"20171021","3 quarter, 9 minute(s) 26 seconds left","MEM"
"20171021","3 quarter, 6 minute(s) 13 seconds left","MEM"
"20171021","4 quarter, 6 minute(s) 39 seconds left","MEM"
