"Game Number","Time in the quarter","Opponents"
"20171017","1 quarter, 6 minute(s) 45 seconds left","GSW"
"20171017","2 quarter, 6 minute(s) 57 seconds left","GSW"
"20171017","3 quarter, 2 minute(s) 49 seconds left","GSW"
"20171017","4 quarter, 6 minute(s) 29 seconds left","GSW"
"20171018","1 quarter, 2 minute(s) 3 seconds left","SAC"
"20171018","2 quarter, 11 minute(s) 41 seconds left","SAC"
"20171018","3 quarter, 6 minute(s) 20 seconds left","SAC"
"20171018","3 quarter, 3 minute(s) 26 seconds left","SAC"
"20171018","4 quarter, 8 minute(s) 29 seconds left","SAC"
"20171018","4 quarter, 2 minute(s) 17 seconds left","SAC"
"20171021","3 quarter, 6 minute(s) 48 seconds left","DAL"
"20171021","4 quarter, 7 minute(s) 4 seconds left","DAL"
