"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 2 minute(s) 58 seconds left","BKN"
"20171018","2 quarter, 7 minute(s) 51 seconds left","BKN"
"20171018","2 quarter, 2 minute(s) 23 seconds left","BKN"
"20171018","4 quarter, 6 minute(s) 55 seconds left","BKN"
"20171020","1 quarter, 6 minute(s) 32 seconds left","POR"
"20171020","2 quarter, 6 minute(s) 52 seconds left","POR"
"20171020","3 quarter, 6 minute(s) 50 seconds left","POR"
"20171020","3 quarter, 2 minute(s) 45 seconds left","POR"
"20171020","4 quarter, 7 minute(s) 57 seconds left","POR"
"20171020","4 quarter, 3 minute(s) 52 seconds left","POR"
"20171021","2 quarter, 5 minute(s) 58 seconds left","MIA"
"20171021","4 quarter, 5 minute(s) 43 seconds left","MIA"
"20171021","4 quarter, 0 minute(s) 38 seconds left","MIA"
"20171021","4 quarter, 0 minute(s) 23 seconds left","MIA"
