"Game Number","Time in the quarter","Opponents"
"20171019","1 quarter, 7 minute(s) 45 seconds left","LAC"
"20171019","2 quarter, 8 minute(s) 41 seconds left","LAC"
"20171019","2 quarter, 5 minute(s) 40 seconds left","LAC"
"20171019","2 quarter, 3 minute(s) 10 seconds left","LAC"
"20171019","3 quarter, 7 minute(s) 42 seconds left","LAC"
"20171019","4 quarter, 9 minute(s) 32 seconds left","LAC"
"20171020","1 quarter, 7 minute(s) 20 seconds left","PHX"
"20171020","1 quarter, 1 minute(s) 31 seconds left","PHX"
"20171020","2 quarter, 8 minute(s) 51 seconds left","PHX"
"20171020","4 quarter, 11 minute(s) 21 seconds left","PHX"
"20171020","4 quarter, 3 minute(s) 25 seconds left","PHX"
