"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 2 minute(s) 27 seconds left","ORL"
"20171018","2 quarter, 5 minute(s) 3 seconds left","ORL"
"20171018","2 quarter, 3 minute(s) 3 seconds left","ORL"
"20171018","4 quarter, 9 minute(s) 48 seconds left","ORL"
"20171018","4 quarter, 0 minute(s) 25 seconds left","ORL"
"20171018","4 quarter, 0 minute(s) 20 seconds left","ORL"
"20171021","1 quarter, 5 minute(s) 1 seconds left","IND"
"20171021","2 quarter, 3 minute(s) 27 seconds left","IND"
"20171021","3 quarter, 3 minute(s) 37 seconds left","IND"
"20171021","4 quarter, 7 minute(s) 48 seconds left","IND"
"20171021","4 quarter, 3 minute(s) 54 seconds left","IND"
"20171021","4 quarter, 0 minute(s) 12 seconds left","IND"
