"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 2 minute(s) 43 seconds left","BOS"
"20171018","2 quarter, 7 minute(s) 56 seconds left","BOS"
"20171018","3 quarter, 6 minute(s) 7 seconds left","BOS"
"20171018","4 quarter, 1 minute(s) 48 seconds left","BOS"
"20171020","1 quarter, 6 minute(s) 38 seconds left","CLE"
"20171020","2 quarter, 2 minute(s) 31 seconds left","CLE"
"20171020","3 quarter, 4 minute(s) 53 seconds left","CLE"
"20171020","4 quarter, 5 minute(s) 40 seconds left","CLE"
"20171021","1 quarter, 6 minute(s) 44 seconds left","POR"
"20171021","1 quarter, 1 minute(s) 35 seconds left","POR"
"20171021","2 quarter, 8 minute(s) 37 seconds left","POR"
"20171021","3 quarter, 6 minute(s) 57 seconds left","POR"
"20171021","4 quarter, 6 minute(s) 49 seconds left","POR"
"20171021","4 quarter, 0 minute(s) 57 seconds left","POR"
