"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 2 minute(s) 21 seconds left","SAS"
"20171018","3 quarter, 5 minute(s) 23 seconds left","SAS"
"20171018","4 quarter, 3 minute(s) 32 seconds left","SAS"
"20171018","4 quarter, 2 minute(s) 54 seconds left","SAS"
"20171018","4 quarter, 1 minute(s) 37 seconds left","SAS"
"20171018","4 quarter, 0 minute(s) 7 seconds left","SAS"
"20171020","1 quarter, 6 minute(s) 24 seconds left","UTA"
"20171020","2 quarter, 7 minute(s) 36 seconds left","UTA"
"20171020","3 quarter, 6 minute(s) 59 seconds left","UTA"
"20171020","4 quarter, 3 minute(s) 16 seconds left","UTA"
"20171020","4 quarter, 1 minute(s) 3 seconds left","UTA"
"20171020","4 quarter, 0 minute(s) 30 seconds left","UTA"
