"Game Number","Time in the quarter","Opponents"
"20171019","1 quarter, 4 minute(s) 22 seconds left","OKC"
"20171019","2 quarter, 7 minute(s) 17 seconds left","OKC"
"20171019","3 quarter, 5 minute(s) 5 seconds left","OKC"
"20171019","4 quarter, 8 minute(s) 25 seconds left","OKC"
"20171019","4 quarter, 5 minute(s) 47 seconds left","OKC"
"20171021","1 quarter, 2 minute(s) 52 seconds left","DET"
"20171021","3 quarter, 9 minute(s) 2 seconds left","DET"
"20171021","3 quarter, 2 minute(s) 19 seconds left","DET"
"20171021","4 quarter, 6 minute(s) 45 seconds left","DET"
"20171021","4 quarter, 0 minute(s) 40 seconds left","DET"
"20171021","4 quarter, 0 minute(s) 8 seconds left","DET"
