"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 6 minute(s) 46 seconds left","MIA"
"20171018","1 quarter, 4 minute(s) 50 seconds left","MIA"
"20171018","2 quarter, 7 minute(s) 5 seconds left","MIA"
"20171018","3 quarter, 4 minute(s) 36 seconds left","MIA"
"20171018","4 quarter, 5 minute(s) 58 seconds left","MIA"
"20171018","4 quarter, 0 minute(s) 39 seconds left","MIA"
"20171020","1 quarter, 3 minute(s) 16 seconds left","BKN"
"20171020","2 quarter, 7 minute(s) 10 seconds left","BKN"
"20171020","3 quarter, 7 minute(s) 59 seconds left","BKN"
"20171020","3 quarter, 3 minute(s) 16 seconds left","BKN"
"20171020","4 quarter, 7 minute(s) 3 seconds left","BKN"
"20171020","4 quarter, 1 minute(s) 1 seconds left","BKN"
"20171020","4 quarter, 0 minute(s) 14 seconds left","BKN"
"20171021","1 quarter, 3 minute(s) 1 seconds left","CLE"
"20171021","2 quarter, 6 minute(s) 53 seconds left","CLE"
"20171021","2 quarter, 3 minute(s) 7 seconds left","CLE"
"20171021","3 quarter, 6 minute(s) 5 seconds left","CLE"
