"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 2 minute(s) 18 seconds left","WAS"
"20171018","2 quarter, 2 minute(s) 44 seconds left","WAS"
"20171018","3 quarter, 3 minute(s) 22 seconds left","WAS"
"20171018","4 quarter, 6 minute(s) 17 seconds left","WAS"
"20171018","4 quarter, 4 minute(s) 4 seconds left","WAS"
"20171018","4 quarter, 0 minute(s) 20 seconds left","WAS"
"20171018","4 quarter, 0 minute(s) 2 seconds left","WAS"
"20171020","1 quarter, 6 minute(s) 50 seconds left","BOS"
"20171020","2 quarter, 7 minute(s) 18 seconds left","BOS"
"20171020","3 quarter, 6 minute(s) 44 seconds left","BOS"
"20171020","4 quarter, 6 minute(s) 37 seconds left","BOS"
"20171020","4 quarter, 3 minute(s) 10 seconds left","BOS"
"20171020","4 quarter, 0 minute(s) 30 seconds left","BOS"
"20171021","1 quarter, 4 minute(s) 5 seconds left","TOR"
"20171021","2 quarter, 6 minute(s) 48 seconds left","TOR"
"20171021","3 quarter, 10 minute(s) 10 seconds left","TOR"
"20171021","4 quarter, 8 minute(s) 5 seconds left","TOR"
"20171021","4 quarter, 5 minute(s) 53 seconds left","TOR"
"20171021","4 quarter, 3 minute(s) 24 seconds left","TOR"
