"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 6 minute(s) 38 seconds left","POR"
"20171018","2 quarter, 7 minute(s) 11 seconds left","POR"
"20171018","3 quarter, 9 minute(s) 33 seconds left","POR"
"20171018","3 quarter, 6 minute(s) 42 seconds left","POR"
"20171018","4 quarter, 10 minute(s) 23 seconds left","POR"
"20171020","1 quarter, 3 minute(s) 19 seconds left","LAL"
"20171020","2 quarter, 4 minute(s) 31 seconds left","LAL"
"20171020","3 quarter, 8 minute(s) 19 seconds left","LAL"
"20171020","3 quarter, 4 minute(s) 49 seconds left","LAL"
"20171020","4 quarter, 7 minute(s) 13 seconds left","LAL"
"20171020","4 quarter, 1 minute(s) 28 seconds left","LAL"
"20171020","4 quarter, 0 minute(s) 9 seconds left","LAL"
"20171021","1 quarter, 2 minute(s) 57 seconds left","LAC"
"20171021","2 quarter, 8 minute(s) 41 seconds left","LAC"
"20171021","3 quarter, 8 minute(s) 29 seconds left","LAC"
"20171021","3 quarter, 6 minute(s) 24 seconds left","LAC"
"20171021","4 quarter, 10 minute(s) 58 seconds left","LAC"
