"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 3 minute(s) 17 seconds left","PHX"
"20171018","2 quarter, 3 minute(s) 26 seconds left","PHX"
"20171018","3 quarter, 4 minute(s) 11 seconds left","PHX"
"20171018","4 quarter, 2 minute(s) 41 seconds left","PHX"
"20171020","1 quarter, 3 minute(s) 11 seconds left","IND"
"20171020","2 quarter, 3 minute(s) 32 seconds left","IND"
"20171020","4 quarter, 2 minute(s) 24 seconds left","IND"
"20171021","1 quarter, 3 minute(s) 18 seconds left","MIL"
"20171021","2 quarter, 6 minute(s) 27 seconds left","MIL"
"20171021","2 quarter, 1 minute(s) 57 seconds left","MIL"
"20171021","3 quarter, 2 minute(s) 39 seconds left","MIL"
"20171021","4 quarter, 4 minute(s) 4 seconds left","MIL"
"20171021","4 quarter, 0 minute(s) 31 seconds left","MIL"
"20171021","4 quarter, 0 minute(s) 6 seconds left","MIL"
