"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 6 minute(s) 5 seconds left","HOU"
"20171018","2 quarter, 7 minute(s) 36 seconds left","HOU"
"20171018","4 quarter, 5 minute(s) 33 seconds left","HOU"
"20171018","4 quarter, 0 minute(s) 26 seconds left","HOU"
"20171018","4 quarter, 0 minute(s) 10 seconds left","HOU"
"20171020","1 quarter, 3 minute(s) 56 seconds left","DAL"
"20171020","2 quarter, 8 minute(s) 53 seconds left","DAL"
"20171020","3 quarter, 3 minute(s) 44 seconds left","DAL"
"20171020","4 quarter, 10 minute(s) 11 seconds left","DAL"
"20171020","4 quarter, 0 minute(s) 34 seconds left","DAL"
"20171021","1 quarter, 7 minute(s) 17 seconds left","DEN"
"20171021","2 quarter, 10 minute(s) 21 seconds left","DEN"
"20171021","2 quarter, 6 minute(s) 42 seconds left","DEN"
"20171021","2 quarter, 3 minute(s) 42 seconds left","DEN"
"20171021","3 quarter, 2 minute(s) 27 seconds left","DEN"
"20171021","4 quarter, 7 minute(s) 32 seconds left","DEN"
