"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 7 minute(s) 16 seconds left","DEN"
"20171018","2 quarter, 5 minute(s) 41 seconds left","DEN"
"20171018","3 quarter, 3 minute(s) 44 seconds left","DEN"
"20171018","4 quarter, 6 minute(s) 14 seconds left","DEN"
"20171018","4 quarter, 3 minute(s) 40 seconds left","DEN"
"20171020","1 quarter, 2 minute(s) 43 seconds left","MIN"
"20171020","2 quarter, 4 minute(s) 55 seconds left","MIN"
"20171020","3 quarter, 3 minute(s) 29 seconds left","MIN"
"20171020","4 quarter, 9 minute(s) 37 seconds left","MIN"
"20171020","4 quarter, 6 minute(s) 8 seconds left","MIN"
"20171020","4 quarter, 0 minute(s) 12 seconds left","MIN"
"20171020","4 quarter, 0 minute(s) 5 seconds left","MIN"
"20171021","1 quarter, 6 minute(s) 53 seconds left","OKC"
"20171021","2 quarter, 7 minute(s) 11 seconds left","OKC"
"20171021","2 quarter, 2 minute(s) 21 seconds left","OKC"
"20171021","3 quarter, 4 minute(s) 15 seconds left","OKC"
"20171021","4 quarter, 8 minute(s) 51 seconds left","OKC"
