"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 6 minute(s) 43 seconds left","PHI"
"20171018","2 quarter, 6 minute(s) 8 seconds left","PHI"
"20171018","3 quarter, 6 minute(s) 40 seconds left","PHI"
"20171018","4 quarter, 10 minute(s) 8 seconds left","PHI"
"20171018","4 quarter, 0 minute(s) 2 seconds left","PHI"
"20171020","1 quarter, 2 minute(s) 50 seconds left","DET"
"20171020","2 quarter, 9 minute(s) 26 seconds left","DET"
"20171020","3 quarter, 2 minute(s) 48 seconds left","DET"
"20171020","4 quarter, 7 minute(s) 60 seconds left","DET"
"20171020","4 quarter, 6 minute(s) 37 seconds left","DET"
"20171020","4 quarter, 0 minute(s) 22 seconds left","DET"
